shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
3,25.788516,-80.214899,56
3,25.789570,-80.214900,57
3,25.789850,-80.214820,58
3,25.790130,-80.214930,59
3,25.793032,-80.214987,60
3,25.793125,-80.214948,61
3,25.793161,-80.214824,62
3,25.793170,-80.214420,63
3,25.793040,-80.214300,64
3,25.792640,-80.213720,65
3,25.792790,-80.213420,66
3,25.792931,-80.213378,67
3,25.793185,-80.213365,68
3,25.793210,-80.213060,69
3,25.793250,-80.212170,70
3,25.793443,-80.211675,71
3,25.793597,-80.211076,72
3,25.793660,-80.210990,73
3,25.793770,-80.210970,74
3,25.794035,-80.211015,75
3,25.795029,-80.211035,76
3,25.795068,-80.211014,77
3,25.795090,-80.210955,78
3,25.795107,-80.210208,79
3,25.795183,-80.207606,80
3,25.795186,-80.207478,81
4,25.795296,-80.207261,1
4,25.795163,-80.211106,2
4,25.795055,-80.214974,3
4,25.795011,-80.215197,4
4,25.794933,-80.215285,5
4,25.789355,-80.215164,6
4,25.787602,-80.215118,7
4,25.786562,-80.215060,8
4,25.786147,-80.215046,9
4,25.785873,-80.215021,10
4,25.785650,-80.214969,11
4,25.785207,-80.214865,12
4,25.784594,-80.214742,13
4,25.784194,-80.214676,14
4,25.783868,-80.214654,15
4,25.781273,-80.214919,16
4,25.780271,-80.214903,17
4,25.777347,-80.214790,18
4,25.773654,-80.214701,19
4,25.773570,-80.214717,20
4,25.773546,-80.214781,21
4,25.773389,-80.219592,22
4,25.773403,-80.219644,23
4,25.773473,-80.219665,24
4,25.775204,-80.219709,25
4,25.775296,-80.219642,26
4,25.775342,-80.218190,27
4,25.775382,-80.218097,28
4,25.775471,-80.218045,29
4,25.776842,-80.218062,30
4,25.778131,-80.218100,31
4,25.779985,-80.218145,32
4,25.780031,-80.218132,33
4,25.780051,-80.218087,34
4,25.780150,-80.215818,35
4,25.780197,-80.215516,36
4,25.780213,-80.215021,37
4,25.780277,-80.214869,38
4,25.780406,-80.214796,39
4,25.780990,-80.214812,40
4,25.781298,-80.214779,41
4,25.783832,-80.214510,42
4,25.784210,-80.214527,43
4,25.784589,-80.214587,44
4,25.785120,-80.214755,45
4,25.785694,-80.214904,46
4,25.785560,-80.215195,47
4,25.785535,-80.215371,48
4,25.785526,-80.216150,49
4,25.785491,-80.217333,50
4,25.785516,-80.217386,51
4,25.785557,-80.217426,52
4,25.787386,-80.217486,53
4,25.787454,-80.217457,54
4,25.787480,-80.217367,55
4,25.787543,-80.215331,56
4,25.787546,-80.214883,57
4,25.787671,-80.212015,58
4,25.787711,-80.211717,59
4,25.787735,-80.211160,60
4,25.787776,-80.211034,61
4,25.787861,-80.210966,62
4,25.788225,-80.210939,63
4,25.788482,-80.210862,64
4,25.788751,-80.210711,65
4,25.788996,-80.210462,66
4,25.789130,-80.210354,67
4,25.789422,-80.210184,68
4,25.789894,-80.210088,69
4,25.790261,-80.210093,70
4,25.792267,-80.210176,71
4,25.792334,-80.210160,72
4,25.792370,-80.210111,73
4,25.792404,-80.209096,74
4,25.792371,-80.209002,75
4,25.792310,-80.208937,76
4,25.792269,-80.208817,77
4,25.792322,-80.207042,78
4,25.792367,-80.206952,79
4,25.792433,-80.206900,80
4,25.795107,-80.206952,81
4,25.795259,-80.206992,82
4,25.795296,-80.207150,83
4,25.795296,-80.207261,84
5,25.7640900,-80.1952800,1
5,25.7638972,-80.1952673,2
5,25.7638181,-80.1953312,3
5,25.7638066,-80.1955184,4
5,25.7639190,-80.1955978,5
5,25.7651000,-80.1955900,6
5,25.7662800,-80.1956300,7
5,25.7663700,-80.1933500,8
