service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,1,1,1,1,1,1,0,20160101,20161231
6,1,1,1,1,1,1,1,20160101,20161231
5,1,1,1,1,1,1,1,20160101,20161231
7,1,1,1,1,1,1,1,20160101,20161231
3,1,1,1,1,1,1,0,20160101,20161231
1,1,1,1,1,1,0,0,20160101,20161231
4,1,1,1,1,1,1,0,20160101,20161231
13,1,1,1,1,1,1,1,20160101,20161231
12,1,1,1,1,1,1,1,20160101,20161231
11,1,1,1,1,1,1,0,20160101,20161231
